Ref,Val,Package,PosX,PosY,Rot,Side
"D1","DB9_1","Vertical_DB9_Female",20.000000,-30.000000,270.000000,top
"D2","DB9_1","Vertical_DB9_Female",55.000000,-30.000000,270.000000,top
"D3","DB9_1","Vertical_DB9_Female",90.000000,-30.000000,270.000000,top
"D4","DB9_1","Vertical_DB9_Female",20.000000,-65.000000,270.000000,top
"D5","DB9_1","Vertical_DB9_Female",55.000000,-65.000000,270.000000,top
"D6","DB9_1","Vertical_DB9_Female",90.000000,-65.000000,270.000000,top
"D7","DB9_1","Vertical_DB9_Female",20.000000,-100.000000,270.000000,top
"D8","DB9_1","Vertical_DB9_Female",55.000000,-100.000000,270.000000,top
"D9","DB9_1","Vertical_DB9_Female",90.000000,-100.000000,270.000000,top
"D10","DB9_1","Vertical_DB9_Female",20.000000,-135.000000,270.000000,top
"D11","DB9_1","Vertical_DB9_Female",55.000000,-135.000000,270.000000,top
"D12","DB9_1","Vertical_DB9_Female",90.000000,-135.000000,270.000000,top
"D13","DB9_1","Vertical_DB9_Female",20.000000,-170.000000,270.000000,top
"D14","DB9_1","Vertical_DB9_Female",55.000000,-170.000000,270.000000,top
"D15","DB9_1","Vertical_DB9_Female",90.000000,-170.000000,270.000000,top
"D16","DB9_1","Vertical_DB9_Female",35.000000,-200.000000,270.000000,top
"D17","DB9_1","Vertical_DB9_Female",72.500000,-200.000000,270.000000,top
"J1","HDMI_A","HDMI-SMD_A111926-B-01-R_Female",0.000000,0.000000,270.000000,top
"J2","HDMI_A","HDMI-SMD_A111926-B-01-R_Female",0.000000,-25.000000,270.000000,top
"J3","HDMI_A","HDMI-SMD_A111926-B-01-R_Female",0.000000,-50.000000,270.000000,top
"J4","HDMI_A","HDMI-SMD_A111926-B-01-R_Female",0.000000,-75.000000,270.000000,top
"J5","HDMI_A","HDMI-SMD_A111926-B-01-R_Female",0.000000,-100.000000,270.000000,top
"J6","HDMI_A","HDMI-SMD_A111926-B-01-R_Female",0.000000,-125.000000,270.000000,top
"J7","HDMI_A","HDMI-SMD_A111926-B-01-R_Female",0.000000,-150.000000,270.000000,top
"J8","HDMI_A","HDMI-SMD_A111926-B-01-R_Female",0.000000,-175.000000,270.000000,top
"J9","HDMI_A","HDMI-SMD_A111926-B-01-R_Female",0.000000,-200.000000,270.000000,top
